EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome(KM),Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,HourlyRate,NumCompaniesWorked,Over18,OverTime,SalaryHike %,PerformanceRating,RelationshipSatisfaction,StandardWorkingHours,StockOptionLevel,TotalExperience(Years),TrainingsLastYear,WorkLifeBalance,YearsatCompany,YearsinCurrentRole,YearsSincePromotion,YearsWithCurrManager
VK2970,19,18-25,Yes,Travel_Rarely,230,Administration,3,3,Life Sciences,1,405,3,Male,3,1,Laboratory Technician,3,Single,"₹ 16,795",0-3 LPA,104.97,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0
VK3020,19,18-25,No,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,2,1,Sales Representative,3,Single,"₹ 1,860",0-3 LPA,11.62,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
VK4580,19,18-25,Yes,Travel-Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,3,1,Sales Representative,2,Single,"₹ 77,820",6-10 LPA,486.38,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0
VK7280,19,18-25,No,Non-Travel,287,Administration,5,2,Life Sciences,1,1012,2,Male,3,1,Research Scientist,4,Single,"₹ 55,886",6-10 LPA,349.29,1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0
VK8290,19,18-25,Yes,Non-Travel,247,Administration,8,1,Medical,1,1156,3,Male,3,1,Laboratory Technician,3,Single,"₹ 7,265",0-3 LPA,45.41,1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0
VK9730,19,18-25,No,Non-Travel,1124,Administration,1,3,Life Sciences,1,1368,4,Female,3,1,Laboratory Technician,4,Single,"₹ 83,386",10+ LPA,521.16,1,Y,No,15,3,3,80,0,0,5,4,0,0,0,0
VK11540,19,18-25,Yes,Travel-Frequently,544,Sales,3,2,Medical,1,1624,2,Female,3,1,Sales Representative,4,Single,"₹ 38,194",3-6 LPA,238.71,1,Y,Yes,12,3,3,80,0,0,2,4,0,0,0,0
VK13120,19,18-25,No,Non-Travel,1431,Administration,14,3,Medical,1,1839,2,Female,3,1,Research Scientist,3,Single,"₹ 88,498",10+ LPA,553.11,1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0
VK1280,19,18-25,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,3,1,Sales Representative,3,Single,"₹ 45,131",3-6 LPA,282.07,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
VK1500,19,18-25,No,Travel_Rarely,1181,Administration,3,1,Medical,1,201,2,Female,3,1,Laboratory Technician,2,Single,"₹ 61,263",6-10 LPA,382.89,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0
VK1720,19,18-25,Yes,Travel-Frequently,602,Sales,1,1,Technical Degree,1,235,3,Female,1,1,Sales Representative,1,Single,"₹ 17,023",0-3 LPA,106.39,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0
VK1780,19,18-25,Yes,Travel_Rarely,303,Administration,2,3,Life Sciences,1,243,2,Male,2,1,Laboratory Technician,4,Single,"₹ 42,090",3-6 LPA,263.06,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0
VK4230,19,18-25,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,2,1,Human Resources,4,Single,"₹ 68,221",6-10 LPA,426.38,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
VK6890,19,18-25,Yes,Travel_Rarely,419,Sales,21,3,Other,1,959,4,Male,2,1,Sales Representative,2,Single,"₹ 65,820",6-10 LPA,411.38,1,Y,Yes,13,3,2,80,0,1,3,4,1,0,0,0
VK8540,19,18-25,No,Travel_Rarely,645,Administration,9,2,Life Sciences,1,1193,3,Male,3,1,Research Scientist,1,Single,"₹ 1,769",0-3 LPA,11.06,1,Y,No,25,4,3,80,0,1,4,3,1,1,0,0
VK8930,19,18-25,Yes,Non-Travel,504,Administration,10,3,Medical,1,1248,1,Female,2,1,Research Scientist,2,Single,"₹ 60,735",6-10 LPA,379.59,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0
VK9100,19,18-25,No,Travel_Rarely,265,Administration,25,3,Life Sciences,1,1269,2,Female,4,1,Research Scientist,4,Single,"₹ 63,955",6-10 LPA,399.72,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1
VK1030,21,18-25,Yes,Travel-Frequently,871,Administration,6,3,Life Sciences,1,137,4,Female,2,1,Laboratory Technician,4,Single,"₹ 65,925",6-10 LPA,412.03,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
VK4880,21,18-25,No,Travel_Rarely,959,Administration,1,3,Life Sciences,1,657,4,Female,2,1,Research Scientist,2,Single,"₹ 68,969",6-10 LPA,431.06,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0
VK5140,21,18-25,Yes,Travel_Rarely,1362,Administration,10,1,Medical,1,701,4,Male,3,1,Research Scientist,3,Single,"₹ 6,311",0-3 LPA,39.44,1,Y,Yes,11,3,4,80,0,1,5,3,1,0,1,1
VK6630,21,18-25,Yes,Travel_Rarely,500,Sales,2,3,Medical,1,922,3,Female,2,1,Sales Representative,3,Single,"₹ 84,104",10+ LPA,525.65,1,Y,No,13,3,4,80,0,2,3,2,2,2,0,2
VK6900,21,18-25,Yes,Travel_Rarely,129,Administration,4,3,Technical Degree,1,960,1,Male,3,1,Laboratory Technician,1,Single,"₹ 54,707",6-10 LPA,341.92,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0
VK7320,21,18-25,Yes,Travel_Rarely,1097,Administration,11,3,Medical,1,1016,4,Female,2,1,Research Scientist,1,Single,"₹ 86,305",10+ LPA,539.41,1,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0
VK7770,21,18-25,Yes,Travel-Frequently,769,Sales,9,3,Marketing,1,1077,4,Female,3,1,Sales Representative,4,Single,"₹ 29,693",3-6 LPA,185.58,1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2
VK8570,21,18-25,No,Travel_Rarely,805,Administration,3,3,Life Sciences,1,1198,1,Male,2,1,Laboratory Technician,3,Single,"₹ 72,932",6-10 LPA,455.82,1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2
VK8770,21,18-25,No,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,Male,4,1,Sales Representative,4,Single,"₹ 94,016",10+ LPA,587.6,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2
VK11790,21,18-25,No,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,3,1,Sales Representative,3,Single,"₹ 26,658",3-6 LPA,166.61,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2
VK11980,21,18-25,No,Travel_Rarely,727,Sales,9,1,Life Sciences,1,1680,4,Male,3,1,Sales Representative,1,Single,"₹ 85,478",10+ LPA,534.24,1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2
VK0240,21,18-25,No,Travel_Rarely,391,Administration,15,2,Life Sciences,1,30,3,Male,3,1,Research Scientist,4,Single,"₹ 19,431",0-3 LPA,121.44,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,
VK2750,22,18-25,No,Travel_Rarely,996,Administration,3,2,Medical,1,379,4,Male,2,1,Research Scientist,3,Single,"₹ 3,747",0-3 LPA,23.42,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0
VK3580,22,18-25,Yes,Travel-Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,2,1,Sales Representative,2,Single,"₹ 60,150",6-10 LPA,375.94,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2
VK3630,22,18-25,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,3,1,Sales Representative,4,Single,"₹ 66,725",6-10 LPA,417.03,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,
VK3710,22,18-25,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,4,1,Sales Representative,2,Single,"₹ 85,654",10+ LPA,535.34,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
VK4970,22,18-25,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,3,1,Sales Representative,3,Single,"₹ 36,773",3-6 LPA,229.83,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2
VK6640,22,18-25,Yes,Travel_Rarely,1427,Administration,18,1,Other,1,923,4,Female,3,1,Research Scientist,4,Single,"₹ 68,435",6-10 LPA,427.72,1,Y,No,19,3,1,80,0,1,3,2,1,0,0,0
VK7780,22,18-25,Yes,Travel_Rarely,1334,Administration,10,3,Life Sciences,1,1079,3,Female,2,1,Laboratory Technician,1,Single,"₹ 57,886",6-10 LPA,361.79,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0
VK8160,22,18-25,No,Travel_Rarely,984,Administration,1,1,Technical Degree,1,1131,4,Female,2,1,Research Scientist,2,Single,"₹ 67,803",6-10 LPA,423.77,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2
VK9160,22,18-25,Yes,Travel-Frequently,251,Administration,10,2,Life Sciences,1,1279,1,Female,2,1,Laboratory Technician,3,Single,"₹ 32,551",3-6 LPA,203.44,1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2
VK11530,22,18-25,No,Travel_Rarely,546,Administration,5,1,Medical,1,1623,3,Male,3,1,Research Scientist,4,Single,"₹ 12,394",0-3 LPA,77.46,1,Y,No,18,3,3,80,0,3,2,3,2,2,2,2
VK12720,22,18-25,Yes,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,3,1,Sales Representative,2,Single,"₹ 70,092",6-10 LPA,438.08,1,Y,No,13,3,2,80,0,1,3,3,1,0,1,0
VK14370,22,18-25,No,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,Male,3,1,Sales Representative,1,Single,"₹ 4,890",0-3 LPA,30.56,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2
VK0180,22,18-25,No,Non-Travel,1123,Administration,16,2,Medical,1,22,4,Male,4,1,Laboratory Technician,4,Single,"₹ 42,606",3-6 LPA,266.29,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
VK1100,22,18-25,No,Travel_Rarely,534,Administration,15,3,Medical,1,144,2,Female,3,1,Laboratory Technician,4,Single,"₹ 97,276",10+ LPA,607.98,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
VK1290,22,18-25,No,Travel_Rarely,594,Administration,2,1,Technical Degree,1,169,3,Male,3,1,Laboratory Technician,4,Married,"₹ 81,038",6-10 LPA,506.49,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1
VK1610,22,18-25,No,Travel_Rarely,1256,Administration,19,1,Medical,1,217,3,Male,3,1,Research Scientist,4,Married,"₹ 88,313",10+ LPA,551.96,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2
VK2070,22,18-25,No,Travel_Rarely,1136,Administration,5,3,Life Sciences,1,284,4,Male,4,1,Research Scientist,2,Single,"₹ 11,627",0-3 LPA,72.67,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,
VK3840,22,18-25,No,Travel_Rarely,253,Administration,11,3,Medical,1,511,1,Female,3,1,Research Scientist,2,Married,"₹ 9,792",0-3 LPA,61.2,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
VK4440,22,18-25,Yes,Travel-Frequently,1368,Administration,4,1,Technical Degree,1,593,3,Male,2,1,Laboratory Technician,3,Single,"₹ 74,969",6-10 LPA,468.56,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2
VK4990,22,18-25,No,Travel_Rarely,604,Administration,6,1,Medical,1,675,1,Male,3,1,Research Scientist,3,Married,"₹ 44,001",3-6 LPA,275.01,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2
VK6310,22,18-25,No,Travel_Rarely,1230,Administration,1,2,Life Sciences,1,872,4,Male,2,2,Manufacturing Director,4,Married,"₹ 77,552",6-10 LPA,484.7,6,Y,No,22,4,1,80,2,4,2,1,2,2,2,2
VK6670,22,18-25,Yes,Travel_Rarely,617,Administration,3,1,Life Sciences,1,926,2,Female,3,2,Manufacturing Director,3,Married,"₹ 24,897",0-3 LPA,155.61,0,Y,Yes,19,3,1,80,1,4,3,4,3,2,0,2
VK7350,22,18-25,No,Travel_Rarely,217,Administration,8,1,Life Sciences,1,1019,2,Male,1,1,Laboratory Technician,1,Married,"₹ 69,148",6-10 LPA,432.18,1,Y,No,15,3,1,80,1,4,3,2,4,3,1,1
VK8610,22,18-25,Yes,Travel-Frequently,1256,Administration,3,4,Life Sciences,1,1203,3,Male,2,1,Research Scientist,4,Married,"₹ 24,483",0-3 LPA,153.02,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0
VK11380,22,18-25,No,Non-Travel,457,Administration,26,2,Other,1,1605,2,Female,2,1,Research Scientist,3,Married,"₹ 49,555",3-6 LPA,309.72,1,Y,Yes,14,3,2,80,0,4,2,2,4,2,1,3
VK12740,22,18-25,Yes,Travel_Rarely,1294,Administration,8,1,Medical,1,1783,3,Female,3,1,Laboratory Technician,1,Married,"₹ 18,159",0-3 LPA,113.49,1,Y,Yes,17,3,3,80,0,1,6,3,1,0,0,0
VK13400,22,18-25,Yes,Travel_Rarely,391,Administration,7,1,Life Sciences,1,1878,4,Male,3,1,Research Scientist,2,Single,"₹ 81,077",6-10 LPA,506.73,1,Y,Yes,23,4,1,80,0,1,2,3,1,0,0,0
VK14240,22,18-25,No,Travel_Rarely,581,Administration,1,2,Life Sciences,1,2007,4,Male,3,1,Research Scientist,3,Single,"₹ 36,920",3-6 LPA,230.75,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2
